Title,Company,Location,Salary,Link,Summary
Data Analyst,레이니스트,서울,,https://kr.indeed.com/viewjob?jk=,"가지신 분 Business Intelligence 시스템 및 비즈니스 리포팅 툴의 활용 능력 프로그래밍 언어( Python/R, etc)를 활용하여 데이터 분석이 가능하신 분 더 나은 데이터 기반 서비스를 만들기 위해 동료들과..."
[NAVERxLINE] Global Ad AI Engineer/AI Pl...,네이버,서울,,https://kr.indeed.com/viewjob?jk=,"learn, Tensorflow, PyTorch, MXNet 등 오픈소스 프레임워크 기반 개발 가능하신 분 - Python, Java, Scala 중 1개 이상의 언어를 활용한 소프트웨어 개발 역량 - 논문 습득, 이해 및..."
[인재풀] 아티스트,Electronic Arts,서울,,https://kr.indeed.com/viewjob?jk=,Maya or 3D Max등의 아트웍 툴 사용 경험 - Max script 또는 Mel Script의 사용 경험 - C# 또는 Python 언어에 대한 이해 및 활용 능력 - 아트웍 관련 툴 제작 또는 플러그인 제작 경험
PMIC S/W APPS Engineering – Senior to St...,Qualcomm CDMA Technologies (Korea) YH,서울,,https://kr.indeed.com/viewjob?jk=,"experience with Programming Language... C, C++, Java, Python , etc Preferred Qualifications 6 to 12 years of academic..."
Developer / Designer recruit,마이뮤직테이스트,서울 논현동,,https://kr.indeed.com/viewjob?jk=,"language (i.e Python, Ruby, Java, .Net... High proficiency in Python... knowledge... least one Python web framework..."
computer science,(주)행림종합건축사사무소,서울 송파구,,https://kr.indeed.com/viewjob?jk=,"Experience with one... following programming languages: Java, Python, Ruby, Node.js, C#, or C++ Preferred Qualifications..."
Research Engineer - Machine Learning,AITRICS,서울,,https://kr.indeed.com/viewjob?jk=,learning approaches One or more software engineering skills ( Python preferred) Experience in using deep learning frameworks...
백엔드 엔지니어 (e-커머스),RIDI Corp,서울,,https://kr.indeed.com/viewjob?jk=,"대용량 트래픽 운영 경험 MSA에 대한 이해도가 있으신 분 RDBMS에 대한 깊은 이해도가 있으신 분 Python/Django 개발 경험이 있으신 분 콘텐츠 혹은 커머스 서비스 개발 경험 [지원 시 유의 사항] 이름, E..."
[kth] 2020년 7월 경력사원 (3차),케이티하이텔,서울 동작구,,https://kr.indeed.com/viewjob?jk=,용프로그래머> Python|인터넷·IT·통신·모바일·게임>웹프로그래머>JAVA|인터넷·IT·통신·모바일·게임>웹프로그래머> Python|인터넷·IT·통신... AI)|인터넷·IT·통신·모바일·게임>빅데이터·AI(인공지능)> Python
Support Engineer _ Azure PaaS,Microsoft,서울,,https://kr.indeed.com/viewjob?jk=,"Java, Node, Python, PHP and Ruby, .NET... Linux, NGNIX, Apache, Java, Node, Python, PHP and Ruby • Experience with customer..."
"(송파구 문정동) 응용 프로그래머 (C++, C#, Python)",심네트,서울 용산구,,https://kr.indeed.com/viewjob?jk=,"(송파구 문정동) 응용 프로그래머 (C++, C#, Python) 모집부문 및 자격요건 모집분야 담당업무 우대사항 SW개발 ㆍ효과 산출도구 개발(공학모델) ㆍUI 기반 / MS Execl 자료 연동 ㆍC++, C# 개발 경험..."
Software Test Engineer for HANA Engine I...,SAP,서울,,https://kr.indeed.com/viewjob?jk=,"processes Knowledge of Git or other version control, Python, SQL Understanding of modern computer architecture, operating..."
Healthcare Real World Data Analyst 담당자,IQVIA,서울,,https://kr.indeed.com/viewjob?jk=,"HEOR 전반적인 업무 수행 Qualifications Claims Data 관련 분석 경력자 SAS / Python / R 등 통계 프로그래밍 언어 사용 가능자 통계학 전공자, 통계 및 Epidemiology 관련 석사..."
네이버 쇼핑검색플랫폼 개발자,네이버,서울,,https://kr.indeed.com/viewjob?jk=,"info extraction [필요역량] - 아래 기술 중 어느 한가지를 능숙하게 다룰 수 있는 분 [ Java, Python, Spring boot/batch/cloud, Kotlin, React, Vue, Node.JS..."
Production Data Analyst,하이퍼커넥트,서울,,https://kr.indeed.com/viewjob?jk=,활용할 수 있도록 가이드 Minimum Qualifications 능숙한 SQL 구현 역량 R 또는 Python 분석 코드 구현 역량 Preferred Qualifications 데이터 관련 분야 학위 보유 머신러닝...
2020 Market Data Analyst - Seoul (Korean...,Bloomberg,서울,,https://kr.indeed.com/viewjob?jk=,"languages (e.g. Python, R, JavaScript... programming/scripting languages (e.g. Python, R, JavaScript, Java) as well as SQL..."
"IT Project Manager, E-Commerce",Procter & Gamble,서울,,https://kr.indeed.com/viewjob?jk=,system integrations Programming skills (e.g. C++/Java/ Python... ability to read and write SQL Business Analytics skills...
"[DGB자산운용] 주식운용, 마케팅",디지비자산운용,서울 영등포구,,https://kr.indeed.com/viewjob?jk=,"주식운용 및 리서치 경험자 - 계량 리서치, 퀀트 모델링 경험자 - 프로그래밍 가능자(SQL, VBA, R, Python 등) 2) 마케팅 - 담당업무 : 리테일 마케팅 - 직급 : 대리급 이하 - 지원자격 ① 판매채널 펀드..."
iOS Developer,Bepro Company,서울,"연봉 40,000,000원 - 80,000,000원",https://kr.indeed.com/viewjob?jk=,참고 - React JS (Web) / Kotlin (Android) / Swift (iOS) - Python + Django - AWS lambda + API gateway - MySQL - Google Cloud...
Junior Quant Trader,Byzantine Partners,서울,,https://kr.indeed.com/viewjob?jk=,background is a plus Programming capability is mandatory (i.e. Python) Understanding of machine learning algorithm is a plus...
"Senior Staff Engineer, FAE Samsung",ams,서울,,https://kr.indeed.com/viewjob?jk=,"programming languages including... limited to: C++, C and python carrier 15+ years of industry experience implementing..."
Data Analyst,Axiologic Solutions,서울,,https://kr.indeed.com/viewjob?jk=,"algorithms and data manipulation capabilities using R, Python, C++, JavaScript, Go, and other known programming languages..."
[(주)케이엠에듀] AI(인공지능) 개발자 및 빅데이터 분석 플랫폼 개발...,케이엠에듀,서울 금천구,,https://kr.indeed.com/viewjob?jk=,"우대사항 - python,java 등의 프로그래밍 언어 사용능력 -oracle, mySQL, Hadoop, Mongo DB등 Database 관련 업무경험 인터넷·IT·통신·모바일·게임>빅데이터·AI(인공지능)>빅데이터|인터넷..."
Solutions Engineer,Confluent,서울,,https://kr.indeed.com/viewjob?jk=,Computer Science or relevant experience Proficiency in Java or Python with experience developing ETL applications What gives...
AI 연구/개발 직군 모집,넷마블,서울 구로구,,https://kr.indeed.com/viewjob?jk=,"ML 관련 분야 경력 6년 이상 - Cloud 서비스 활용 경험 - Python, C/C++, SQL 사용 가능 - Tensorflow 또는 상응하는... 웹 서비스 구축 등 자격요건 - Python 에 능숙하고 C/C++ 혹은..."
[피파온라인4] 소프트웨어 엔지니어,Electronic Arts,서울,,https://kr.indeed.com/viewjob?jk=,관련 논문 및 자료를 이해할 수 있는 영어 능력 keras... tensorflow 사용경험 python을 이용한 코딩 경험 [ 우대 사항 ] Machine Learning 관련 논문을 구현해본 경험 (졸업 작품...
[AI Lab] Machine Learning 데이터 사이언티스트,버즈니,서울,,https://kr.indeed.com/viewjob?jk=,"분석을 통한 구매/전환 예측 모델링 – 상품 클릭, 구매 전환, 설치 전환 예측 모델링 이런 분을 찾습니다 Python 사용 능력이 능숙하신 분 주도적으로 문제를 찾고 해결할 수 있는 분 Machine Learning 기반의..."
[Search] Global API 서빙 플랫폼 개발,네이버,서울,,https://kr.indeed.com/viewjob?jk=,관련하여 2 년 이상 실무 경험 해 보신 분 ( 대학원 기간 포 함 ) - 프로그래밍 언어 (C/C++/Go/ Python) 중 1 개 이상을 주 개발 언어로 사용하시는 분 - Linux 의 command line 시스템에...
